stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716182166.128608,1122.900014,565.025676,0.003528,0.023647,-0.007232,0.000369,0.001443,0.004617,0.001400,0.001391,0.004658,0.001313,1,1,1
1716182166.328628,1122.899925,565.026329,0.003521,0.023647,-0.007228,0.000376,-0.003921,0.002005,0.003100,-0.003983,0.002051,0.002990,1,1,1
1716182166.528621,1122.901465,565.025494,0.003671,0.023621,-0.007345,0.000402,0.040203,0.006679,-0.002300,0.040190,0.006897,-0.001828,1,1,1
1716182166.728624,1122.916689,565.025121,0.003577,0.023613,-0.007290,0.000383,0.110285,0.012037,0.000400,0.110185,0.012797,0.001845,1,1,1
1716182166.928622,1122.942735,565.025064,0.003196,0.023361,-0.007234,0.000456,0.154787,0.002870,0.006700,0.154640,0.004072,0.009067,1,1,1
1716182167.128628,1122.977133,565.025732,0.002584,0.022830,-0.007242,0.000594,0.200111,0.001152,0.007600,0.199954,0.002652,0.010720,1,1,1
1716182167.328626,1123.027757,565.026935,0.002145,0.022357,-0.007317,0.000677,0.317732,0.005893,0.001600,0.317624,0.008009,0.006444,1,1,1
1716182167.528616,1123.108702,565.025553,0.001948,0.022355,-0.007190,0.000641,0.476621,-0.003850,0.002700,0.476532,-0.000648,0.010310,1,1,1
1716182167.728645,1123.220214,565.022223,0.002117,0.022585,-0.007125,0.000533,0.625372,-0.007528,0.002200,0.625292,-0.003287,0.012282,1,1,1
1716182167.928642,1123.357675,565.018190,0.003086,0.023786,-0.006840,0.000163,0.749688,-0.006231,0.001800,0.749584,-0.000888,0.014039,1,1,1
1716182168.128640,1123.521529,565.015840,0.002192,0.023491,-0.006483,0.000006,0.888674,-0.011131,0.009800,0.888443,-0.004470,0.024704,1,1,1
1716182168.328664,1123.711938,565.016686,0.001185,0.022605,-0.006504,-0.000173,1.011078,-0.002063,0.002200,1.010892,0.005487,0.018885,1,1,1
1716182168.528662,1123.925055,565.022449,0.002855,0.023780,-0.006694,0.000256,1.142360,0.017862,-0.015600,1.142320,0.025459,0.002576,1,0,1
1716182168.728667,1124.162959,565.028146,0.002436,0.023960,-0.006284,0.000600,1.271996,-0.009262,0.027000,1.271394,-0.000166,0.048446,1,0,1
1716182168.928659,1124.428014,565.036786,0.002039,0.023626,-0.006281,0.000964,1.417184,0.028461,0.012100,1.416587,0.037637,0.035099,1,0,1
1716182169.128705,1124.721714,565.041967,0.004304,0.025041,-0.006674,0.000993,1.513667,0.011973,0.005600,1.513274,0.021543,0.029994,1,0,1
1716182169.328705,1125.043349,565.047583,0.001877,0.023704,-0.006116,0.001158,1.664094,-0.006796,0.006500,1.663755,0.003493,0.034741,1,1,1
