stamp,optimized_pose_x,optimized_pose_y,optimized_pose_yaw
1716184311.799735,897.409146,252.200524,2.738985
1716184311.999788,897.052667,252.368103,2.706306
1716184312.199769,896.696384,252.352098,2.673031
1716184312.399706,896.358785,252.652104,2.629211
1716184312.599649,896.010684,253.113477,2.590487
1716184312.799629,895.690977,253.156713,2.568514
1716184312.899613,895.542037,253.092428,2.543027
1716184313.099584,895.251073,253.363663,2.513486
1716184313.299615,894.957012,253.531580,2.480854
1716184313.499669,894.684102,253.839982,2.445920
1716184313.699644,894.422719,254.036677,2.406027
1716184313.899658,894.173700,254.292851,2.389677
1716184314.099669,893.935001,254.580570,2.335349
1716184314.299663,893.714891,254.681310,2.321405
1716184314.499667,893.503709,255.051021,2.292253
1716184314.699693,893.309211,255.322909,2.255267
1716184314.899741,893.124005,255.559616,2.228274
1716184314.999768,893.021559,255.651736,2.202429
1716184315.199764,892.852046,255.938119,2.184347
1716184315.399727,892.676585,256.111106,2.167519
1716184315.599721,892.506132,256.457279,2.113520
1716184315.799734,892.318269,256.703333,2.079839
1716184315.999731,892.121997,257.038558,2.028128
1716184316.199716,891.934132,257.522033,2.007242
1716184316.399671,891.757549,257.861857,1.972538
1716184316.599615,891.617103,258.253564,1.918139
1716184316.799599,891.502969,258.679414,1.884295
1716184316.999616,891.371342,259.136214,1.852038
1716184317.099634,891.311296,259.371137,1.837733
1716184317.299674,891.177688,259.799957,1.803036
1716184317.499691,891.105932,260.236247,1.763869
1716184317.699734,891.015741,260.689172,1.725455
1716184317.899737,890.990868,261.111020,1.694521
1716184318.099742,890.911000,261.542644,1.691160
1716184318.299718,890.860311,261.929527,1.673709
1716184318.499659,890.858913,262.349088,1.646557
1716184318.699668,890.803300,262.754100,1.642573
1716184318.899711,890.783213,263.234970,1.637213
1716184319.099739,890.768966,263.645694,1.616296
1716184319.199730,890.670283,263.912966,1.610619
1716184319.399713,890.590053,264.351266,1.607409
1716184319.599720,890.619366,264.785173,1.589924
1716184319.799719,890.616875,265.270466,1.593841
1716184319.999710,890.643523,265.733214,1.584624
1716184320.199722,890.617133,266.334684,1.588605
1716184320.399731,890.660976,266.834027,1.567778
1716184320.599706,890.705957,267.514321,1.554017
1716184320.799725,890.645937,268.083966,1.579064
1716184320.999775,890.658690,268.748314,1.556905
1716184321.199752,890.647336,269.388085,1.579569
1716184321.299736,890.664150,269.672814,1.572771
1716184321.499729,890.688353,270.378751,1.570789
1716184321.699771,890.689122,271.056712,1.573591
1716184321.899767,890.691824,271.599671,1.570823
1716184322.099759,890.704091,272.313174,1.592018
1716184322.299725,890.706673,272.997258,1.575816
1716184322.499685,890.756024,273.594335,1.567158
1716184322.699683,890.739828,274.075734,1.569099
1716184322.899665,890.864315,274.645627,1.566555
1716184323.099699,890.771364,275.251972,1.554789
1716184323.399781,890.767583,275.738847,1.576431
1716184323.599761,890.779605,276.068652,1.567883
1716184323.799748,890.855806,276.383543,1.578198
1716184323.999752,890.893511,276.678008,1.577709
1716184324.199741,890.892828,276.975195,1.578602
1716184324.399706,890.920794,277.246282,1.577905
1716184324.599680,890.825818,277.604093,1.571960
1716184324.799674,890.694921,278.041181,1.567498
1716184324.999694,890.825032,278.482222,1.581670
1716184325.199724,890.802547,278.973899,1.580732
1716184325.399697,890.842206,279.476801,1.583575
1716184325.499696,890.891767,279.774630,1.579142
1716184325.699734,890.819456,280.276312,1.578200
1716184325.899748,890.894946,280.727065,1.577635
1716184326.099741,890.838826,281.204452,1.579513
1716184326.299704,890.846457,281.696751,1.577152
1716184326.499703,890.774888,282.254791,1.577592
1716184326.699722,890.925070,282.793443,1.583445
1716184326.899746,890.879610,283.413421,1.582923
1716184327.099753,890.895801,284.016945,1.581538
1716184327.299742,890.866909,284.641378,1.583948
1716184327.499755,890.859171,285.379610,1.587464
1716184327.599750,890.898572,285.729232,1.592419
1716184327.799698,890.855013,286.466953,1.586393
1716184327.999677,890.958732,287.213480,1.588848
1716184328.199700,890.868283,288.009933,1.584958
1716184328.399757,890.912685,288.818656,1.592493
1716184328.599781,890.931895,289.657564,1.592805
1716184328.799718,890.886487,290.512028,1.591729
1716184328.999664,890.862597,291.394008,1.591132
1716184329.199665,890.863255,292.300112,1.590219
1716184329.399650,890.849165,293.246597,1.589641
1716184329.599630,890.934644,294.212323,1.602782
1716184329.699639,890.928064,294.679063,1.590784
1716184329.899673,890.865413,295.620257,1.589651
1716184330.099697,890.853168,296.581670,1.583748
1716184330.299697,890.700172,297.589874,1.583540
1716184330.499703,890.667079,298.654925,1.603685
1716184331.699708,890.665687,303.998794,1.587050
1716184331.799749,890.737614,304.452441,1.555154
1716184331.999755,890.785968,305.351331,1.580258
1716184332.199670,890.793781,306.178095,1.591140
1716184332.399641,890.767349,306.836254,1.584932
1716184332.599676,890.786195,307.896062,1.584849
1716184332.799674,890.789046,308.758117,1.587730
1716184332.999700,890.783258,309.660126,1.589453
1716184333.199724,890.790398,310.579342,1.589836
1716184333.399726,890.798253,311.424650,1.586435
1716184333.599732,890.790390,312.224551,1.588238
1716184333.799682,890.788846,313.087211,1.587131
1716184333.899668,890.792226,313.515028,1.587648
1716184334.099649,890.794188,314.338286,1.591575
1716184334.299694,890.787841,315.129647,1.587956
1716184334.499693,890.824957,315.959608,1.585857
1716184334.699709,890.817112,316.771972,1.581593
1716184334.899714,890.829783,317.625220,1.581799
1716184335.099755,890.811804,318.441652,1.584085
1716184335.299738,890.806035,319.280451,1.586212
1716184335.499694,890.932811,320.132245,1.581954
1716184335.699634,890.855890,320.930189,1.589258
1716184335.899627,890.827974,321.694879,1.587539
1716184335.999650,890.787476,322.072587,1.585907
1716184336.199696,890.652558,322.935039,1.587183
1716184336.399679,890.653954,323.712100,1.587217
1716184336.599687,890.656492,324.416322,1.589990
1716184336.799718,890.632860,325.147743,1.588478
1716184336.999756,890.588154,325.837925,1.596799
1716184337.199761,890.728680,326.643753,1.571779
1716184337.399728,890.682924,327.261958,1.580389
1716184337.599705,890.680836,327.810052,1.590551
1716184337.799690,890.622161,328.210463,1.585979
1716184337.999729,890.685749,328.730805,1.583687
1716184338.099745,890.750523,328.935211,1.577010
1716184338.299714,890.747511,329.358206,1.589188
1716184338.499680,890.600153,329.719147,1.588540
1716184338.699670,890.622086,330.042101,1.592268
1716184338.899696,890.618046,330.270427,1.591026
1716184339.099729,890.556182,330.477361,1.588299
1716184339.299757,890.581054,330.617409,1.590260
1716184339.499735,890.485963,330.926626,1.587018
1716184339.699670,890.481347,331.122007,1.588776
1716184339.899623,890.609673,331.362917,1.590082
1716184340.099609,890.606829,331.532431,1.589654
1716184340.399657,890.541535,331.858609,1.591424
1716184340.599688,890.642510,332.033285,1.590578
1716184340.799721,890.578185,332.328765,1.597659
1716184340.999741,890.693403,332.516721,1.587303
1716184341.199747,890.694162,332.582510,1.582307
1716184341.399728,890.694484,332.685854,1.582423
1716184341.599682,890.593876,333.010806,1.592113
1716184341.799676,890.606161,333.112585,1.588798
1716184341.999691,890.664779,333.426190,1.584205
1716184342.199716,890.715793,333.599748,1.589989
1716184342.299729,890.760907,333.706434,1.578487
1716184342.499740,890.728424,334.018146,1.591400
1716184342.699739,890.694007,334.350941,1.586095
1716184342.899745,890.856750,334.819225,1.595503
