stamp,container_pose_x,container_pose_y,container_pose_z,container_pose_roll,container_pose_pitch,container_pose_yaw,container_updated_pose_x,container_updated_pose_y,container_updated_pose_z,container_updated_pose_roll,container_updated_pose_pitch,container_updated_pose_yaw,qc_match_updated_k_x,qc_match_updated_k_y,b_outlier,time_length
1716205991.299729,1396.160949,252.178147,-0.032959,-0.006339,-0.006378,2.742233,1395.905719,252.039514,-0.033129,-0.006636,-0.006494,2.724316,0.150000,0.150000,0,0.026844
1716205991.699657,1395.458449,252.557486,-0.009163,0.011911,-0.007932,2.675212,1395.239173,252.433322,-0.009837,0.011626,-0.007711,2.656440,0.150000,0.150000,0,0.024193
1716205991.899696,1395.115278,252.770168,-0.006620,0.012104,-0.009438,2.639903,1394.925418,252.648957,-0.007275,0.011845,-0.009210,2.620894,0.150000,0.150000,0,0.020795
1716205992.099705,1394.751539,252.983168,-0.001911,0.014189,-0.010908,2.604526,1394.609386,252.864687,-0.002577,0.013963,-0.010648,2.586006,0.150000,0.150000,0,0.021963
1716205992.299719,1394.422741,253.185534,-0.003008,0.012289,-0.011644,2.568945,1394.299708,253.071189,-0.003611,0.012075,-0.011415,2.550188,0.150000,0.150000,0,0.021640
1716205992.499734,1394.081569,253.435126,-0.001893,0.012003,-0.012586,2.534176,1393.992995,253.298113,-0.002465,0.011807,-0.012364,2.515499,0.150000,0.150000,0,0.024104
1716205992.699757,1393.815908,253.653333,0.001497,0.014302,-0.013037,2.497474,1393.701565,253.541786,0.000897,0.014124,-0.012783,2.479636,0.150000,0.150000,0,0.024873
1716205992.799766,1393.567787,253.804415,-0.000320,0.012360,-0.013337,2.479297,1393.549166,253.674047,-0.000865,0.012185,-0.013116,2.461294,0.150000,0.150000,0,0.024125
1716205992.999744,1393.286267,254.057058,-0.002725,0.010781,-0.012978,2.444379,1393.257384,253.940543,-0.003254,0.010592,-0.012778,2.425674,0.150000,0.150000,0,0.028046
1716205993.199723,1392.998748,254.345146,-0.002576,0.010065,-0.013620,2.409883,1392.975485,254.204155,-0.003069,0.009889,-0.013434,2.391255,0.150000,0.150000,0,0.025883
1716205993.399701,1392.716375,254.601013,-0.005644,0.007483,-0.013594,2.375598,1392.700139,254.484756,-0.006075,0.007301,-0.013453,2.356417,0.150000,0.150000,0,0.023919
1716205993.599721,1392.515640,254.876252,-0.002656,0.009218,-0.014214,2.340876,1392.444073,254.761747,-0.003112,0.009053,-0.014043,2.322218,0.150000,0.150000,0,0.023170
1716205993.799752,1392.151268,255.186796,-0.002211,0.008900,-0.014745,2.307643,1392.178687,255.053386,-0.002671,0.008736,-0.014571,2.287897,0.150000,0.150000,0,0.024342
1716205993.999759,1391.879395,255.481055,0.000261,0.010003,-0.015510,2.272767,1391.922284,255.348857,-0.000203,0.009858,-0.015319,2.253557,0.150000,0.150000,0,0.026475
1716205994.199747,1391.623950,255.799644,-0.006982,0.006024,-0.013837,2.236309,1391.677304,255.682860,-0.007365,0.005847,-0.013723,2.217050,0.150000,0.150000,0,0.023886
1716205994.399694,1391.389810,256.094647,-0.002056,0.011121,-0.013153,2.201479,1391.444430,255.942196,-0.002635,0.010920,-0.012930,2.181229,0.150000,0.150000,0,0.025099
1716205994.799706,1391.044571,256.738891,-0.001767,0.014346,-0.010882,2.133665,1391.033230,256.563642,-0.002525,0.014090,-0.010585,2.112750,0.150000,0.150000,0,0.025857
1716205995.099745,1390.782525,257.205823,-0.003040,0.015249,-0.009367,2.081880,1390.764731,257.036482,-0.003857,0.014964,-0.009053,2.061133,0.150000,0.150000,0,0.027125
1716205995.299710,1390.584002,257.546221,-0.005095,0.013122,-0.009653,2.048592,1390.591732,257.399500,-0.005848,0.012839,-0.009380,2.027531,0.150000,0.150000,0,0.027209
1716205995.499702,1390.467257,257.863989,-0.003064,0.016557,-0.008354,2.016133,1390.441405,257.727066,-0.003985,0.016237,-0.007999,1.994510,0.150000,0.150000,0,0.025605
1716205995.699674,1390.283630,258.194697,-0.000798,0.018098,-0.008651,1.986417,1390.298286,258.075168,-0.001788,0.017776,-0.008254,1.964239,0.150000,0.150000,0,0.024621
1716205996.299718,1389.943526,259.126187,-0.005295,0.016582,-0.006885,1.902322,1389.939563,258.974992,-0.006315,0.016208,-0.006508,1.879326,0.150000,0.150000,0,0.026464
1716205996.499747,1389.885334,259.423917,-0.003680,0.018444,-0.006515,1.877437,1389.854009,259.312028,-0.004800,0.018052,-0.006085,1.853925,0.150000,0.150000,0,0.024925
1716205996.899739,1389.730331,260.015766,-0.005008,0.018369,-0.005709,1.830210,1389.698804,259.939971,-0.006138,0.017961,-0.005286,1.806891,0.150000,0.150000,0,0.026943
1716206005.299722,1388.387906,282.908209,-0.000845,0.022347,-0.005382,1.600165,1388.900877,282.934271,-0.002207,0.021905,-0.004834,1.575408,0.150000,0.150000,0,0.029354
1716206005.799692,1388.410213,285.637269,-0.006818,0.021348,-0.002261,1.601909,1388.815340,285.714222,-0.008274,0.020813,-0.001723,1.576401,0.150000,0.150000,0,0.030898
1716206006.399732,1388.472402,288.682451,-0.005204,0.018509,-0.005475,1.601841,1388.753135,288.739369,-0.006454,0.018056,-0.005008,1.576304,0.150000,0.150000,0,0.032225
1716206009.299714,1388.496955,296.043648,0.000183,0.020404,-0.007531,1.579294,1388.786167,295.892974,-0.000216,0.020279,-0.007367,1.571236,0.150000,0.150000,0,0.034723
1716206009.499691,1388.442302,296.348384,-0.000767,0.020253,-0.007029,1.579487,1388.738832,296.217016,-0.001184,0.020119,-0.006860,1.571119,0.150000,0.150000,0,0.035094
1716206009.799678,1388.441540,296.738169,-0.000228,0.020363,-0.007295,1.580659,1388.698063,296.623618,-0.000700,0.020214,-0.007103,1.571173,0.150000,0.150000,0,0.032423
1716206009.999685,1388.463682,296.951026,-0.001015,0.019614,-0.007355,1.580243,1388.665768,296.864956,-0.001439,0.019477,-0.007184,1.571499,0.150000,0.150000,0,0.029957
1716206010.199706,1388.481054,297.235635,-0.001281,0.018900,-0.007727,1.580884,1388.643563,297.134028,-0.001720,0.018757,-0.007550,1.571534,0.150000,0.150000,0,0.032306
1716206013.299654,1388.168744,305.766955,0.003248,0.021211,-0.008908,1.600451,1388.694369,305.138928,0.001874,0.020809,-0.008321,1.572498,0.150000,0.150000,0,0.027167
